1970,1.15
1971,1.22
1972,2.68
1973,2.03
1974,3.23
1975,3.47
1976,0.94
1977,1.24
1978,0.46
1979,1.52
1980,0.49
1981,0.37
1982,2.34
1983,2.19
1984,2.47
1985,-0.45
1986,1.48
1987,0.55
1988,2.21
1989,3.19
1990,3.13
1991,2.37
1992,3.53
1993,2.58
1994,2.04
1995,2.60
1996,1.97
1997,3.80
1998,1.78
1999,2.35
2000,3.86
2001,2.32
2002,2.60
2003,3.16
2004,2.35
2005,3.48
2006,3.46
2007,3.38
2008,3.32
2009,2.81
2010,1.04
